#ITER     #MEDIA_BFO        #MEDIA_M
943           4677.34        4838.77
944           4677.34        4838.77
945           4677.34        4838.77
946           4677.34        4838.77
947           4677.34        4838.77
948           4677.34        4838.77
949           4677.33        4838.77
950           4677.33        4838.77
951           4677.33        4838.76
952           4677.33        4838.76
953           4677.33        4838.76
954           4677.33        4838.76
955           4677.33        4838.76
956           4677.33        4838.76
957           4677.33        4838.76
958           4677.33        4838.76
959           4677.33        4838.76
960           4677.33        4838.76
961           4677.33        4838.76
962           4677.33        4838.76
963           4677.33        4838.76
964           4677.33        4838.76
965           4677.33        4838.76
966           4677.32        4838.75
967           4677.32        4838.75
968           4677.32        4838.75
969           4677.32        4838.75
970           4677.32        4838.75
971           4677.32        4838.75
972           4677.32        4838.75
973           4677.32        4838.75
974           4677.32        4838.75
975           4677.32        4838.75
976           4677.32        4838.75
977           4677.32        4838.75
978           4677.32        4838.75
979           4677.32        4838.75
980           4677.32        4838.75
981           4677.32        4838.75
982           4677.32        4838.75
983           4677.32        4838.75
984           4677.32        4838.75
985           4677.32        4838.75
986           4677.32        4838.75
987           4677.32        4838.74
988           4677.32        4838.74
989           4677.32        4838.74
990           4677.32        4838.74
991           4677.32        4838.74
992           4677.32        4838.74
993           4677.32        4838.74
994           4677.32        4838.74
995           4677.32        4838.74
996           4677.32        4838.74
997           4677.32        4838.74
998           4677.32        4838.74
999           4677.32        4838.74
1000           4677.32        4838.74
1001           4677.32        4838.74
1002           4677.32        4838.74
1003           4677.32        4838.74
1004           4677.32        4838.74
1005           4677.32        4838.74
1006           4677.32        4838.73
1007           4677.32        4838.73
1008           4677.32        4838.73
1009           4677.32        4838.73
1010           4677.32        4838.73
1011           4677.32        4838.73
1012           4677.32        4838.73
1013           4677.32        4838.73
1014           4677.32        4838.73
1015           4677.32        4838.73
1016           4677.32        4838.73
1017           4677.32        4838.73
1018           4677.32        4838.73
1019           4677.32        4838.73
1020           4677.32        4838.73
1021           4677.32        4838.73
1022           4677.32        4838.73
1023           4677.32        4838.73
1024           4677.32        4838.73
1025           4677.32        4838.73
1026           4677.32        4838.73
